,show,theatre,weekly_gross,avg_ticket_price,pct_capacity,avg_ticket_price_cpi,weekly_gross_cpi,cpi,performances,days_diff
129,Arcadia,Ethel Barrymore Theatre,287163.82352941175,63.43411764705882,0.6070823529411765,75.59623521865238,342252.34434244706,223.93547058823538,6.352941176470588,0.0
130,Arcadia,Vivian Beaumont Theater,223792.38461538462,33.70423076923077,0.7999346153846153,55.87008901103086,370998.8058136612,160.88461538461542,6.653846153846154,0.0
131,Aren't We All?,Brooks Atkinson Theatre,215056.0,31.99285714285714,0.7711142857142858,78.14630666779337,525294.041133539,109.22857142857141,8.0,0.0
132,Arms and the Man,Circle in the Square Theatre,74522.0,19.28076923076923,0.7050076923076922,46.995305803504216,181691.01339699473,109.47692307692306,8.0,0.0
133,Arsenic and Old Lace,46th Street Theatre,133137.24137931035,19.009310344827586,0.6353862068965518,44.190628528723536,309576.0719335041,114.69655172413795,7.620689655172414,0.0
134,Art,Royale Theatre,311374.96153846156,45.471282051282046,0.7961551282051282,69.49580416995833,476245.5761103071,174.69743589743592,7.6923076923076925,0.0
135,Artist Descending a Staircase,Helen Hayes Theatre,79771.0,28.158333333333335,0.7073166666666667,57.11908141919516,161792.1287555054,131.51666666666668,6.0,0.0
136,As Is,Lyceum Theatre,63698.83870967742,17.836129032258064,0.6530935483870969,43.161393555381984,154277.815351297,110.2741935483871,8.0,0.0
137,As Long as We Both Shall Laugh,American Airlines Theatre,23605.5,24.347857142857144,0.7967642857142857,33.720365008578874,32692.535271935336,192.65000000000003,1.0714285714285714,0.0
138,Asinamali!,Jack Lawrence Theatre,26560.2,15.190000000000001,0.46448,34.4787542374772,60273.884585233754,117.54,5.6,0.0
139,Aspects of Love,Broadhurst Theatre,320536.08,43.13320000000001,0.7898140000000002,84.10146799203716,626266.6361192893,136.94200000000004,7.54,0.0
140,Assassins,Studio 54,376523.9375,56.58625000000001,0.9140937499999999,76.88460344339964,511544.89052071795,196.33750000000003,6.3125,0.0
141,August: Osage County,Music Box Theatre,381809.37209302327,68.29604651162792,0.6180930232558137,84.27368679381198,471847.69008268596,216.16089534883713,7.534883720930233,0.0
142,Avenue Q,John Golden Theatre,377457.9504643963,69.26123839009286,0.8441786377708976,89.80422748510891,490667.8624205007,206.4731733746127,7.845201238390093,0.0
